source,target,attack_success_raw,transfer_rate_raw,conditioned_fooling_rate,conditioned_ci95,n_conditioned,target_clean_acc,is_self,total_samples
ResNet18_AT,ResNet18_AT,55.230000000000004,55.230000000000004,47.55769005505447,"[46.47973527000117, 48.553355979852405]",8537,85.37,True,10000
ResNet18_AT,ViT_Tiny_AT,55.19,40.5,19.757085020242915,"[18.90688259109312, 20.647773279352226]",7410,74.1,False,10000
ViT_Tiny_AT,ResNet18_AT,67.36,27.3,14.934988871969077,"[14.173011596579594, 15.696673304439498]",8537,85.37,False,10000
ViT_Tiny_AT,ViT_Tiny_AT,67.27,67.27,55.829959514170035,"[54.709514170040485, 56.95006747638327]",7410,74.1,True,10000
