n_samples,clean_accuracy,robust_accuracy,clean_correct,robust_correct,seed,chunk_size,model,model_type,eps,model_path
10000,86.04,38.07,8604,3807,42,1000,ResNet18_AT,resnet18,0.03137254901960784,models/c1/resnet18_s1003/resnet18/adv/adversarial_training/best.pth
10000,73.01,28.96,7301,2896,42,1000,ViT_Tiny_AT,vit_tiny,0.03137254901960784,models/c1/vit_tiny_s2003/vit_tiny/adv/adversarial_training/best.pth
