model,l2_norm_mean,l2_norm_std,linf_norm_mean,sparsity,spatial_variance,gradient_alignment
ResNet18_AT,0.016865402460098267,0.011954264715313911,0.002195475623011589,0.0689697265625,6.501965543748156e-08,0.04404629849725299
ViT_Tiny_AT,0.017172520980238914,0.011264159344136715,0.0033838567323982716,0.015167236328125,5.474129949334383e-08,0.09664890824092759
