Model,Attack,Epsilon,Accuracy
resnet18,clean,0.0,44.68
resnet18,fgsm,0.00784313725490196,40.64
resnet18,fgsm,0.01568627450980392,36.74
resnet18,fgsm,0.03137254901960784,29.2
resnet18,pgd,0.00784313725490196,40.7
resnet18,pgd,0.01568627450980392,36.84
resnet18,pgd,0.03137254901960784,29.0
