Model,Attack,Epsilon,Accuracy
vit_tiny,clean,0.0,74.22
vit_tiny,pgd,0.00784313725490196,66.22
vit_tiny,pgd,0.01568627450980392,56.82
vit_tiny,pgd,0.023529411764705882,46.49
vit_tiny,pgd,0.03137254901960784,36.76
vit_tiny,pgd,0.047058823529411764,22.69
vit_tiny,pgd,0.06274509803921569,16.09
