Model,Attack,Epsilon,Accuracy
resnet18,clean,0.0,85.37
resnet18,pgd,0.00784313725490196,77.18
resnet18,pgd,0.01568627450980392,66.89
resnet18,pgd,0.03137254901960784,44.86
resnet18,pgd,0.06274509803921569,20.56
