model,l2_norm_mean,l2_norm_std,linf_norm_mean,sparsity,sparsity_std,spatial_variance,gradient_alignment,gradient_alignment_std,n_samples
ResNet18_AT,0.01887903711758554,0.0029457254681687795,0.002748130587860942,0.07235463662073016,0.021430457953753174,1.1510539410508613e-07,0.052913379181215234,0.003335627891869898,512
ViT_Tiny_AT,0.021068556292448193,0.002979850452602468,0.0041822893981589004,0.04151535133132711,0.018342193312446266,1.2910206459437745e-07,0.05507948351635908,0.007487218569918207,512
