n_samples,clean_accuracy,robust_accuracy,clean_correct,robust_correct,seed,chunk_size,model,model_type,eps,model_path
10000,85.37,37.93,8537,3793,42,1000,ResNet18_AT,resnet18,0.03137254901960784,models/c1/resnet18_s1001/resnet18/adv/adversarial_training/best.pth
10000,74.1,29.59,7410,2959,42,1000,ViT_Tiny_AT,vit_tiny,0.03137254901960784,models/c1/vit_tiny_s2001/vit_tiny/adv/adversarial_training/best.pth
