Model,Attack,Epsilon,Accuracy
vit_tiny,clean,0.0,73.01
vit_tiny,pgd,0.00784313725490196,63.92
vit_tiny,pgd,0.01568627450980392,54.04
vit_tiny,pgd,0.03137254901960784,32.83
vit_tiny,pgd,0.06274509803921569,12.06
