layer,l2_distance,l2_distance_std,cosine_similarity,cosine_similarity_std,clean_norm,adv_norm,norm_change_pct,norm_change_pct_std
blocks.0.mlp,2.3734621524810793,0.12886036974718593,0.994834566116333,0.0004011314736385836,25.39969482421875,25.386580657958984,-0.0515438484181288,0.11091619636597722
blocks.1.mlp,1.9343952894210816,0.07423691962552997,0.9892157196998597,0.0013529588027544471,13.628230667114257,13.624124717712402,-0.025875548321045085,0.2621045567814394
blocks.2.mlp,1.4263752698898315,0.019222519217043196,0.9836140632629394,0.0010951776100691709,8.31729564666748,8.297609329223633,-0.22915226537948657,0.8020797542747776
blocks.3.mlp,1.3805538415908813,0.01732615648762999,0.9740274310111999,0.0016649882861692184,6.610088062286377,6.570626068115234,-0.5745027381006237,0.8064340320254803
blocks.4.mlp,1.0165441632270813,0.029556121264664063,0.9757045865058899,0.0021672963499386856,5.061699676513672,5.028873538970947,-0.6038373382743674,1.2215461561909482
blocks.5.mlp,0.9811075091361999,0.048542410782790806,0.9753350257873535,0.0017227114333223856,4.901480388641358,4.859000873565674,-0.864881376895047,0.8143167268921637
blocks.6.mlp,1.0861016273498536,0.04333329544346357,0.9704501152038574,0.0024223943361886954,4.938017749786377,4.898626899719238,-0.7330074441025891,1.5608572607078388
blocks.7.mlp,1.3604719161987304,0.09657446071019338,0.9683755278587342,0.0012727475906794006,6.0461201667785645,5.969443130493164,-1.0648658297821487,2.401751746170036
blocks.8.mlp,1.8057548522949218,0.10426213424217194,0.9657294869422912,0.001912653720695742,7.609590816497803,7.487900066375732,-1.4711204261663953,2.296657521360914
blocks.9.mlp,1.360025954246521,0.05966216272605572,0.9680648803710937,0.0020064515161469453,5.776083946228027,5.729387664794922,-0.8030443383623365,0.7466062134093178
blocks.10.mlp,1.5415362596511841,0.05592885223348658,0.9755078911781311,0.0020531003089524352,7.524297142028809,7.510203456878662,-0.18663149367048043,0.4180012989289491
blocks.11.mlp,1.8698622465133667,0.12122583199573983,0.9938787341117858,0.001864640799286241,19.175301361083985,19.313221740722657,0.743424937327877,0.9480466015295513
