Model,Attack,Epsilon,Accuracy
resnet18,clean,0.0,80.0
resnet18,pgd,0.00784313725490196,71.57
resnet18,pgd,0.01568627450980392,61.76
resnet18,pgd,0.023529411764705882,51.16
resnet18,pgd,0.03137254901960784,41.04
resnet18,pgd,0.047058823529411764,25.28
resnet18,pgd,0.06274509803921569,17.84
