,l2_norm_mean,l2_norm_std,linf_norm_mean,l1_norm_mean,mean,std,skewness,kurtosis,sparsity,spatial_variance
resnet_clean,0.0016680138302035629,9.618524694815278e-05,0.00013452821847749873,0.07047108411788941,5.680174052713482e-07,3.0138661131786648e-05,9.113678805761083e-07,-3.0,0.032517188265919685,1.6127807533905525e-10
vit_clean,0.00039901256561279295,0.00021258763095829636,3.7870316809858195e-05,0.016259492300450804,-2.9168249398026093e-08,8.189563332052784e-06,-8.401132447488636e-08,-3.0,0.15040625393390655,1.6301879637858897e-11
densenet_clean,5.77866467210697e-05,1.0340336939407279e-05,4.104607405679417e-06,0.002511516772210598,3.646094179854398e-08,1.0575435044302138e-06,1.0339637136010019e-10,-3.0,0.6850514447689057,1.8495152051588652e-13
