layer,l2_distance,l2_distance_std,cosine_similarity,cosine_similarity_std,clean_norm,adv_norm,norm_change_pct,norm_change_pct_std
blocks.0.mlp,2.5692182949611118,0.10132704837451316,0.9947218724659511,0.0003695371562720112,27.29505865914481,27.263560703822545,-0.1156267609046715,0.19134238081152205
blocks.1.mlp,1.7307793072291784,0.038744109908008514,0.9938763720648629,0.0005217366471670742,15.915469305855888,15.888795307704381,-0.16435042267692643,0.19680328497727376
blocks.2.mlp,1.6833397320338659,0.04750657053978627,0.9813032831464495,0.0018463164421761375,9.462603569030762,9.350809914725167,-1.1808753106372802,0.5178034055230584
blocks.3.mlp,1.3384576525006975,0.0638641590338564,0.9734624368803841,0.0017945848667926785,6.394553184509277,6.323431219373431,-1.0756150392027255,1.592793887365304
blocks.4.mlp,1.6381494658333915,0.06725431233829601,0.9747809597424099,0.003186036942984831,7.7085917336600165,7.675526891435895,-0.40042397904782095,1.7364868124058404
blocks.5.mlp,1.698674542563302,0.09319024924391814,0.9669146537780762,0.006047350339813803,7.329167297908238,7.219100339072091,-1.4348576584433232,1.564434280802102
blocks.6.mlp,1.6840074402945382,0.09341618002874197,0.961764224937984,0.0036737824643548263,6.609418869018555,6.542177404676165,-0.986810105941327,1.2238755280133677
blocks.7.mlp,1.6082209859575545,0.05936152745634453,0.9609517114503043,0.004109296702878705,6.195714337485177,6.147916044507708,-0.7681785653955832,1.6429235982377228
blocks.8.mlp,1.8637060948780604,0.08231611365037578,0.9616652301379612,0.004023383583452154,7.218483039311001,7.194638252258301,-0.3252558050486245,0.8314087978278356
blocks.9.mlp,1.9498404264450073,0.08108739789487121,0.9633493934358869,0.006273670522590901,7.930794511522565,7.885912350245884,-0.5673078904156765,0.8282871855774917
blocks.10.mlp,1.9490690742220198,0.1621061374886147,0.9578348398208618,0.0066567909867225866,7.690607275281634,7.624883856092181,-0.8569002673453209,0.7983562591935447
blocks.11.mlp,2.208270106996809,0.2311510288884085,0.9636821150779724,0.006742180028616219,9.378843035016741,9.268552780151367,-1.1767169417624872,0.6234699927111905
