model,l2_norm_mean,l2_norm_std,linf_norm_mean,sparsity,sparsity_std,sparsity_hoyer,sparsity_hoyer_std,sparsity_gini,sparsity_gini_std,sparsity_rel_threshold,sparsity_rel_threshold_std,spatial_variance,gradient_alignment,gradient_alignment_std,n_samples
ResNet18_AT,0.6615724503993988,0.06599258217001168,0.136786500364542,0.010185547079890967,0.004931934576649464,0.4821090579032898,0.007778572082635848,0.6412271320819855,0.006944953411753792,0.3282330811023712,0.015199526641397438,0.00016988304705591872,0.03882308639585972,0.0017102506983630963,500
ViT_Tiny_AT,0.700531131029129,0.05816090616514936,0.13672397956252097,0.0010110677336342632,0.0005620797910513125,0.4599430650472641,0.01162745652846411,0.612089854478836,0.007614203092145025,0.2724759131669998,0.01740993640379917,0.00012589303587446922,0.056519373506307605,0.002954804544696719,500
ViT_CIFAR_Native_AT,0.5541353255510331,0.06489936388933036,0.08648666739463806,0.0006282552232732997,0.000251747807284431,0.40459333956241605,0.008370275585667003,0.5712300896644592,0.005616228342352014,0.17850195616483688,0.011998142491604386,5.9964230422338007e-05,0.0794112965464592,0.004573856558624178,500
