n_samples,clean_accuracy,robust_accuracy,clean_correct,robust_correct,seed,chunk_size,model,model_type,eps,model_path
5000,85.56,60.32,4278,3016,42,1000,ResNet18_AT,resnet18,0.5,models/c1/resnet18_s1002/resnet18/adv/adversarial_training/best.pth
5000,73.88,49.76,3694,2488,42,1000,ViT_Tiny_AT,vit_tiny,0.5,models/c1/vit_tiny_s2002/vit_tiny/adv/adversarial_training/best.pth
