n_samples,clean_accuracy,robust_accuracy,clean_correct,robust_correct,seed,chunk_size,model,model_type,eps,model_path
5000,85.44,61.1,4272,3055,42,1000,ResNet18_AT,resnet18,0.5,models/c1/resnet18_s1003/resnet18/adv/adversarial_training/best.pth
5000,73.1,49.7,3655,2485,42,1000,ViT_Tiny_AT,vit_tiny,0.5,models/c1/vit_tiny_s2003/vit_tiny/adv/adversarial_training/best.pth
