Model,Attack,Epsilon,Accuracy
vit_tiny,clean,0.0,63.42
vit_tiny,fgsm,0.00784313725490196,56.26
vit_tiny,fgsm,0.01568627450980392,48.78
vit_tiny,fgsm,0.03137254901960784,34.81
vit_tiny,pgd,0.00784313725490196,56.23
vit_tiny,pgd,0.01568627450980392,48.56
vit_tiny,pgd,0.03137254901960784,32.77
vit_tiny,autoattack,0.00784313725490196,54.74
vit_tiny,autoattack,0.01568627450980392,45.86
vit_tiny,autoattack,0.03137254901960784,28.36
