Model,Attack,Epsilon,Accuracy
resnet18,clean,0.0,63.38
resnet18,fgsm,0.00784313725490196,56.03
resnet18,fgsm,0.01568627450980392,48.39
resnet18,fgsm,0.03137254901960784,35.17
resnet18,pgd,0.00784313725490196,55.95
resnet18,pgd,0.01568627450980392,47.69
resnet18,pgd,0.03137254901960784,32.58
resnet18,autoattack,0.00784313725490196,54.88
resnet18,autoattack,0.01568627450980392,45.67
resnet18,autoattack,0.03137254901960784,28.79
