n_samples,clean_accuracy,robust_accuracy,clean_correct,robust_correct,seed,chunk_size,model,model_type,eps,model_path
10000,62.67,15.67,6267,1567,42,1000,ResNet18_AT,resnet18,0.03137254901960784,models/q1/cifar100/resnet18_s1003/resnet18/adv/adversarial_training/best.pth
10000,44.06,9.81,4406,981,42,1000,ViT_Tiny_AT,vit_tiny,0.03137254901960784,models/q1/cifar100/vit_tiny_s2003/vit_tiny/adv/adversarial_training/best.pth
