source,target,attack_success_raw,transfer_rate_raw,conditioned_fooling_rate,conditioned_ci95,n_conditioned,target_clean_acc,is_self,total_samples
ResNet18_AT,ResNet18_AT,59.13,59.13,52.15406228049637,"[51.100152189182865, 53.26621400140482]",8542,85.42,True,10000
ResNet18_AT,ViT_Tiny_AT,59.099999999999994,40.17,20.9517514871117,"[20.079312623925976, 21.916721744877727]",7565,75.64999999999999,False,10000
ViT_Tiny_AT,ResNet18_AT,63.89,31.900000000000002,20.323109342074456,"[19.456801685787873, 21.21312339030672]",8542,85.42,False,10000
ViT_Tiny_AT,ViT_Tiny_AT,63.94,63.94,52.333113020489094,"[51.288830138797096, 53.41705221414409]",7565,75.64999999999999,True,10000
