n_samples,clean_accuracy,robust_accuracy,clean_correct,robust_correct,seed,chunk_size,model,model_type,eps,model_path
10000,85.42,35.74,8542,3574,42,1000,ResNet18_AT,resnet18,0.03137254901960784,models/resnet18/adv/at_run3/resnet18/adv/adversarial_training/best.pth
10000,75.65,32.94,7565,3294,42,1000,ViT_Tiny_AT,vit_tiny,0.03137254901960784,models/vit_tiny/adv/at_run3/vit_tiny/adv/adversarial_training/best.pth
