n_samples,clean_accuracy,robust_accuracy,clean_correct,robust_correct,model,model_type,eps
500,81.6,34.6,408,173,ResNet18_AT,resnet18,0.03137254901960784
500,61.8,28.0,309,140,ViT_Tiny_AT,vit_tiny,0.03137254901960784
