n_samples,clean_accuracy,robust_accuracy,clean_correct,robust_correct,seed,chunk_size,model,model_type,eps,model_path
10000,64.67,14.71,6467,1471,42,1000,ResNet18_AT,resnet18,0.03137254901960784,models/q1/cifar100/resnet18_s1002/resnet18/adv/adversarial_training/best.pth
10000,43.5,8.22,4350,822,42,1000,ViT_Tiny_AT,vit_tiny,0.03137254901960784,models/q1/cifar100/vit_tiny_s2002/vit_tiny/adv/adversarial_training/best.pth
