Model,Attack,Epsilon,Accuracy
resnet18,clean,0.0,85.42
resnet18,pgd,0.00784313725490196,75.68
resnet18,pgd,0.01568627450980392,64.53
resnet18,pgd,0.03137254901960784,40.87
resnet18,pgd,0.06274509803921569,18.63
