model,l2_norm_mean,l2_norm_std,linf_norm_mean,sparsity,sparsity_std,sparsity_hoyer,sparsity_hoyer_std,sparsity_gini,sparsity_gini_std,sparsity_rel_threshold,sparsity_rel_threshold_std,spatial_variance,gradient_alignment,gradient_alignment_std,n_samples
ResNet18_AT,0.6749879479408264,0.05237505417000384,0.14749982506036757,0.013292969157919287,0.00506319339203183,0.5057536542415619,0.0112850409273151,0.6590409576892853,0.007682092288820472,0.36992057859897615,0.022834242097159507,0.00016526127146789804,0.03695823438465595,0.0017733546747496914,500
ViT_Tiny_AT,0.7055183529853821,0.03969751628234458,0.13306190222501754,0.0008587239834014326,0.0003434200249630983,0.44977265894412993,0.010039202372360717,0.6040245711803436,0.007040321748014181,0.25782617181539536,0.017869696323284816,0.00012823985744034872,0.056426464766263965,0.0029943548707650493,500
ViT_CIFAR_Native_AT,0.5541353255510331,0.06489936388933036,0.08648666739463806,0.0006282552232732997,0.000251747807284431,0.40459333956241605,0.008370275585667003,0.5712300896644592,0.005616228342352014,0.17850195616483688,0.011998142491604386,5.9964230422338007e-05,0.0794112965464592,0.004573856558624178,500
