source,target,attack_success_raw,transfer_rate_raw,conditioned_fooling_rate,conditioned_ci95,n_conditioned,target_clean_acc,is_self,total_samples
ResNet18_AT,ResNet18_AT,56.04,56.04,48.848033511752384,"[47.74261112404003, 49.94181987433093]",8594,85.94000000000001,True,10000
ResNet18_AT,ViT_Tiny_AT,56.11000000000001,40.97,19.76316864026133,"[18.878453790662856, 20.661494487545937]",7347,73.47,False,10000
ViT_Tiny_AT,ResNet18_AT,67.56,27.279999999999998,15.475913427973003,"[14.64975564347219, 16.27879916220619]",8594,85.94000000000001,False,10000
ViT_Tiny_AT,ViT_Tiny_AT,67.47,67.47,55.723424527017826,"[54.607322716755135, 56.88069960528107]",7347,73.47,True,10000
