n_samples,clean_accuracy,robust_accuracy,clean_correct,robust_correct,model,model_type,eps
500,81.8,36.0,409,180,ResNet18_AT_run2,resnet18,0.03137254901960784
500,73.6,32.4,368,162,ViT_Tiny_AT_run2,vit_tiny,0.03137254901960784
