model,clean_mean,clean_std,robust_mean,robust_std,n_runs,n_samples
ResNet18_AT,85.7,0.0,45.53333333333333,0.04714045207910384,3,1000
ViT_Tiny_AT,75.7,0.0,34.7,0.0,3,1000
