Model,Training,Attack,Epsilon,Accuracy
resnet,clean,None,0.0,95.1
resnet,clean,AutoAttack,0.00784313725490196,1.4
resnet,clean,AutoAttack,0.01568627450980392,0.0
resnet,clean,AutoAttack,0.03137254901960784,0.0
