Model,Training,Attack,Epsilon,Accuracy
vit,clean,None,0.0,78.69
vit,clean,FGSM,0.00784313725490196,7.17
vit,clean,FGSM,0.01568627450980392,2.18
vit,clean,FGSM,0.03137254901960784,2.14
vit,clean,PGD,0.00784313725490196,1.45
vit,clean,PGD,0.01568627450980392,0.02
vit,clean,PGD,0.03137254901960784,0.0
