Model,Training,Attack,Epsilon,Defense,Accuracy
resnet,clean,None,0.0,None,94.47
resnet,clean,None,0.0,TTA,95.05
resnet,clean,FGSM,0.00784313725490196,None,45.06
resnet,clean,FGSM,0.00784313725490196,TTA,46.37
resnet,clean,PGD,0.00784313725490196,None,9.8
resnet,clean,PGD,0.00784313725490196,TTA,10.32
resnet,clean,FGSM,0.03137254901960784,None,30.59
resnet,clean,FGSM,0.03137254901960784,TTA,30.99
resnet,clean,PGD,0.03137254901960784,None,0.02
resnet,clean,PGD,0.03137254901960784,TTA,0.0
