Model,Training,Attack,Epsilon,Accuracy
vit,adv,None,0.0,64.05
vit,adv,FGSM,0.00784313725490196,55.72
vit,adv,FGSM,0.01568627450980392,46.98
vit,adv,FGSM,0.03137254901960784,31.15
vit,adv,PGD,0.00784313725490196,55.66
vit,adv,PGD,0.01568627450980392,46.51
vit,adv,PGD,0.03137254901960784,28.42
