Model,Training,Attack,Epsilon,Defense,Accuracy
vit,clean,None,0.0,None,78.69
vit,clean,None,0.0,TTA,78.62
vit,clean,FGSM,0.00784313725490196,None,7.17
vit,clean,FGSM,0.00784313725490196,TTA,7.15
vit,clean,PGD,0.00784313725490196,None,1.47
vit,clean,PGD,0.00784313725490196,TTA,1.61
vit,clean,FGSM,0.03137254901960784,None,2.14
vit,clean,FGSM,0.03137254901960784,TTA,2.15
vit,clean,PGD,0.03137254901960784,None,0.0
vit,clean,PGD,0.03137254901960784,TTA,0.0
