Model,Training,Attack,Epsilon,Defense,Accuracy
vit,adv,None,0.0,None,64.05
vit,adv,None,0.0,TTA,64.07
vit,adv,FGSM,0.00784313725490196,None,55.72
vit,adv,FGSM,0.00784313725490196,TTA,55.68
vit,adv,PGD,0.00784313725490196,None,55.66
vit,adv,PGD,0.00784313725490196,TTA,55.66
vit,adv,FGSM,0.03137254901960784,None,31.15
vit,adv,FGSM,0.03137254901960784,TTA,31.24
vit,adv,PGD,0.03137254901960784,None,28.44
vit,adv,PGD,0.03137254901960784,TTA,28.37
