Model,Training,Attack,Epsilon,Accuracy
resnet,adv,None,0.0,84.1
resnet,adv,AutoAttack,0.00784313725490196,74.9
resnet,adv,AutoAttack,0.01568627450980392,63.0
resnet,adv,AutoAttack,0.03137254901960784,40.5
