Model,Training,Attack,Epsilon,Accuracy
resnet,adv,None,0,82.45
resnet,adv,FGSM,0.00784313725490196,75.07
resnet,adv,FGSM,0.01568627450980392,67.16
resnet,adv,FGSM,0.03137254901960784,52.76
resnet,adv,PGD,0.00784313725490196,74.75
resnet,adv,PGD,0.01568627450980392,65.35
resnet,adv,PGD,0.03137254901960784,44.98
resnet,adv,CW,N/A,28.3
