Model,Attack,Epsilon,Accuracy
vit_tiny,clean,0.0,75.65
vit_tiny,pgd,0.00784313725490196,66.6
vit_tiny,pgd,0.01568627450980392,56.49
vit_tiny,pgd,0.03137254901960784,36.12
vit_tiny,pgd,0.06274509803921569,14.13
