Model,Attack,Epsilon,Accuracy
vit_tiny,clean,0.0,73.47
vit_tiny,pgd,0.00784313725490196,64.23
vit_tiny,pgd,0.01568627450980392,53.7
vit_tiny,pgd,0.03137254901960784,32.47
vit_tiny,pgd,0.06274509803921569,12.19
