source,target,attack_success_raw,transfer_rate_raw,conditioned_fooling_rate,conditioned_ci95,n_conditioned,target_clean_acc,is_self,total_samples
ResNet18_AT,ResNet18_AT,56.24,56.24,49.14584543869843,"[48.12318419523533, 50.09907030796049]",8605,86.05000000000001,True,10000
ResNet18_AT,ViT_Tiny_AT,56.230000000000004,41.589999999999996,20.07944117244213,"[19.202506505958088, 21.024517189426106]",7301,73.00999999999999,False,10000
ViT_Tiny_AT,ResNet18_AT,67.24,27.76,16.10691458454387,"[15.339628123184196, 16.932016269610692]",8605,86.05000000000001,False,10000
ViT_Tiny_AT,ViT_Tiny_AT,67.17,67.17,55.033557046979865,"[53.85563621421723, 56.19778112587317]",7301,73.00999999999999,True,10000
